,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrate-N,0.62,0.17,0.36,0.17,0.25,,0.08,,,0.45,,,,0.33,0.32,,0.1,0.27,0.1,0.22,0.23,1.26,0.45,0.43,0.45,1.01,0.37,0.11,0.16,0.07,0.66,0.15,0.17,0.95,0.33,0.82,0.37,0.48,0.59,0.17,6.83,6.81,7.68,,2.2,2.2,0.7,0.83,0.93,0.42,0.34,0.26,0.34,0.6,0.02,0.92,0.57,0.46,0.44,0.58,0.49,0.48,0.5,0.15,0.15,0.27,0.28,0.29,0.31,0.56,0.29,0.24,0.22,0.45,0.43,0.51,0.63,0.63,0.63,0.6,0.67,0.65,0.59,0.54,0.67,0.87,0.67,0.54,0.89,0.67,0.52,0.87,0.67,0.45,0.65,0.32,0.56,0.45,0.13,0.32,0.6,0.1,0.32,0.8,0.1,0.32,0.26,2.31,2.16,2.08,0.63,0.62,1.11,1.44,2.09,,,0.21,0.14,0.2,0.23,0.12,0.22,0.13,0.12,0.14,0.25,0.3,0.13,0.11,0.2,0.23,0.11,0.23
pH,7.19,7.21,7.1,6.97,6.95,,,6.96,,6.95,,6.98,7.26,,7.04,,7.19,7.18,6.94,7.08,6.82,7.31,7.28,7.23,7.44,7.25,8.06,7.81,8.24,7.51,8.37,8.78,7.7,7.44,7.19,6.89,7.24,8.19,7.68,7.81,  NIL,  NIL,  NIL,7.83,7.6,8.18,7.8,7.58,7.28,8.4,7.1,7.33,7.87,7.49,7.46,6.89,7.13,7.17,6.85,7.27,7.43,7.1,7.31,6.92,7.2,7.36,0.28,7.26,7.31,7.36,7.03,7.13,6.5,7.9,7,6.74,7.21,7.45,6.97,7.35,6.9,7.27,7.51,6.74,6.98,7.02,7.89,6.76,7.15,7.56,8.16,7.45,6.89,5.56,4.89,6.32,7.46,6.98,6.98,6.8,6.08,6.9,6.8,6.68,7.22,7.91,1.26,7.43,7.8,7.2,6.89,6.87,6.82,7.11,7.26,7.4,7.4,6.99,7.01,7.02,6.98,7.01,7.22,7.11,6.98,7.19,7.11,7.03,7.02,7.1,7.06,7.01,6.91,7.2
Phosphate-P,,0.06,,,,0.169,,,,,0.016,0.148,0.05,0.03,0,,0.1,0.06,0.036,0.056,0.026,0.072,0.079,0.067,0.106,0.022,0.039,0.124,0.205,0.081,0.105,0.105,0.076,0.045,0.143,0.081,0.073,0.024,0.088,0.058,0.051,0.057,0.025,0.074,0.186,0.093,0.062,0.265,0.014,0.045,0.063,0.03,0.245,0.069,0.092,0.075,0.075,0.209,0.184,0.113,0.102,0.062,0.218,0.027,0.207,0.089,7.48,0.088,0.015,0.067,0.005,0.003,0.014,0.005,0.011,0.01,0.183,0.006,0.002,0.006,0.044,0.009,0.005,0.027,0.193,0.231,0.342,0.019,0.056,0.089,0.021,0.024,0.078,0.567,0.321,0.564,BDL,0.005,0.006,0.002,0.241,0.091,0.002,0.037,0.004,0.294,0.232,0.011,0.019,0.016,0.02,0.016,0.02,0.003,0.003,0.003,0.004,0.022,0.019,0.021,0,0.021,0.011,0,0.02,0,0.01,0.0231,0.002,0,0.02,0.001,0,0
Potassium,,4,,,,5,4.92,4,,3,3,3,2,3,4,,4,4,5,4,4,5,3,3,2.75,3,3.82,8.58,8,6.88,4.71,4,3.73,2.35,2.35,2.78,2.34,2,1.35,4,3,5,4,4,17,10,4,3,3,3,3,3,4,4,2,5,5,5,4,3,3,5,5,4,5,4,5,2,4,4,3,4,4,4,3,4,10,5,4,4,6,6,4.3,2.38,2.62,2.98,3.45,4.22,5.21,6.78,BDL,9.9,6.89,8.76,4.76,9.43,2.82,3.68,2.81,5.4,4,4.39,5.4,7.6,4.8,4.4,3.2,2.3,3.8,7,3.7,4,4.2,5,2.8,6.1,3.8,3.66,3.45,4,3.33,3.98,4,3.22,3,3.97,3.2,4,3.99,3.01,3,4,2.3,2
Sodium,,14.3,,,,8.65,10.19,10.91,,4.85,2.5,4.79,1.81,,7.38,,10.59,11.58,11.58,10.59,13.54,12.56,12.56,6.67,5.37,6.67,6.78,9.72,10,20.89,7.19,9.78,10.99,3.91,6,6.38,6.34,5.37,7.38,13.53,6.67,10.39,9.39,9.39,18.56,12.28,10,6,4,8,9.61,8,10,11.4,11,9.39,9.39,10,8,5,6,7,8,13,11,9.39,11.4,9,14,12,8,5,10,10,9,11,14.42,10,10,12,13,12,5.6,5.15,5.39,6.05,6.98,7.02,7.89,8.02,9.62,5.27,7.09,5.67,4.98,5.32,9.78,12.76,10.89,48.8,13.22,10.95,48.8,227,2.8,9.3,9.15,10.15,9.2,0.4,5.8,7.1,    BDL ,9.4,9.6,0.04,6.4,8.55,9.2,7.44,8,8.23,8.5,7.22,8.55,8.21,9.3,8.22,7.45,8.66,7.38,8.02,7.21,8.65
Sulphate,,11.1,,,,1.18,4.79,1.51,1.41,2.99,0.071,0.212,8.38,,9.48,,13.82,14.96,13.03,15.68,19.39,22.83,12.66,10.31,15,12.81,9.58,15.09,17.67,31.85,13.13,16.51,21.29,16.33,11.27,9.99,14.38,11.49,11.88,11.67,11.38,15.92,18.13,14.6,12.98,22.71,15,13.07,13.28,16.13,11.69,15.25,42.26,0.97,17.94,20,20.31,15.93,12.79,10.48,13.42,16.06,16.9,25.78,21.09,12.76,34.48,21.5,14.77,11.78,6.36,7.75,8.66,6.77,8.06,11.79,8.48,10.08,15.59,7.36,6.42,7.85,6.41,6.41,8.39,8.58,8.78,9.23,9.89,10,14.76,15.78,17.78,25.09,34.65,43.78,8.08,13.47,13.39,10.52,4.85,11.47,,15.43,17.05,13.65,15.76,15.17,18.13,15.18,11.54,15.32,16.33,18.52,16.54,10.88,14.78,11.22,12.66,11,9.85,10.25,12.01,10,10.2,9.85,12.21,11.23,9.2,11.2,8.99,9.45,10.2,
Temperature,14,26,29,30,20,20,27,24,21,31,28,29,27,29,28,27,21,24,25,30,28,28,27,30,25,29,26,21,19,20,24,24,23,24,29,30,27,29,22,19,20,18,24,24,20,30,30,25,25,28,25,20,18,28,25,22,34,31,26,28,31,28,20,20,14,22,25,29,26,27,26,29,30,24,26,21,25,21,22,30,28,24,24,27,32,41,54,60,64,39,23,46,54,67,54,67,31,30,29,18,21,22,10.52,26,24,30,23,29,29,29,27,22,20,22,24,27,24,22,28,21,27,26,25,22,24,24,27,25,21,28,23,28,22,22
Total Alkalinity,,66,,,,72,62,64,62,44,42,44,50,52,50,56,24,72,64,66.5,68.4,60.8,36.1,51.3,68.4,53.2,57,60.8,62.7,77.9,53.2,64.6,66.5,48,42,48,64,54,52,60,54,68,70,94,84,76,60,68,50,62,40,66,72,80,64,74,70,34,52,52,82,34,76,48,82,106,80,70,84,62,50,66,70,72,76,62,82,102,114,70,64,66,48,57,60,64,70,52,60,67,76,80,56,56,98,78,64,54,,24,72,62,24,100,80,84,52,56,    NIL ,80,   NIL ,84,76,   NIL ,84,84,76,39,51,56,44,47,55,42,39,53,49,52,48,50,41,32,44,32
Total Coliform,8000,8000,11000,14000,14000,340000,210000,210000,200000,195000,165000,"  39,0000",85000,110000,70000,22000,27000,11000,26000,17000,30000,240000,220000,80000,110000,70000,50000,30000,21000,11000,50000,30000,50000,22000,22000,14000,24000,6000,14000,11000,8000,9000,8000,5000,7000,5000,9000,11000,22000,17000,14000,17000,22000,28000,17000,8000,3000,13000,5000,8000,11000,14000,33000,17000,33000,70000,110000,70000,70000,50000,3300,2100,33000,80000,70000,34000,22000,70000,50000,70000,90000,60000,11000,15000,22000,25000,21000,52,25000,21000,0,23000,32000,45000,54000,65000,11000,17000,17000,34000,21000,26000,34000,350000,50000,40000,33000,33000,22000,14000,11000,17000,14000,34000,9000,8000,11000,29000,52000,45000,47000,48000,36000,30000,31000,36000,51000,28000,44000,38000,24000,28000,36000,40000
Total Dissolved Solids(TDS),,112,,,,108,108,106,100,148,30,90,  ,126,30,118,160,152,150,124,171,170,390,137,96,44,66,98,164,182,138,110,117,109,116,130,98,84,58,60,44,110,110,161,87,82,382,80,98,107,94,130,89,130,136,108,150,124,124,144,98,125,85,126,129,149,187,154,110,101,46,83,136,248,137,96,88,64,102,112,198,70,158,110,285,298,300,103.5,189,200,148,210,310,450,320,450,110,110,138,189,,98,189,185,112,142,110,96,82,102,96,88,92,234,110,78,114,158,155,133,148,146,159,129,118,160,151,145,122,144,150,126,111,120
Total Fixed Solids(TFS),,80,,,,150,26,146,88,278,152,102,120,84,22,24,148,116,104,92,146,98,290,130,60,88,132,140,118,104,120,150,26,50,410,100,20,52,22,46,96,42,88,112,54,74,288,100,100,84,48,76,12,88,74,12,166,120,1036,1112,134,198,90,102,128,142,184,118,54,312,232,142,236,176,70,136,6,88,262,150,174,260,510,297,404,410,423,450,438,456,215,349,450,876,580,675,678,234,88,136,198,112,136,152,8,97,214,156,136,72,128,146,88,168,226,,64,52,39,43,50,66,75,39,101,49,58,37,45,65,85,36,54,132
Total Hardness as CaCo3,,52.5,,,,51.5,56,64.64,64.64,46.46,46.46,52.52,52.52,60,60,64,30,62,70,67.31,72,74.88,48,52,76,58,64,72,40.71,65.49,56.64,61.95,59.64,52,48,56,72,52,54,54,46,46,40,56,66,70,68.8,60.9,52.5,58.8,54.6,65,66,92,56,66,62,52,40,56,60,52,66,52,78,60,82,62,90,60,40,36,66,68,52,72,58,40,68,84,60,52,48,46,54,58,84,56,60,65,72,56,89,34,23,34,55,,90,92,32,60,,82,80,78,64.64,64,58,40,68,78,82,76,60,78,80,59,45,52,60,36,50,32,30,36,61,42,49,31,45,58,50,40
Total Kjeldahl Nitrogen(TKN),,1.99,,,,0.4,0.7,1,3.4,3.6,0.7,0.1,0.6,0.6,  BDL,  BDL,1.5,1,1.1,0.5,1.6,1.4,1.1,0.54,0.55,0.9,1,0.7,0.8,1.3,1.3,0.6,  BDL,0.5,  <0.50,0.8,0.7,0.7,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.51,0.56,0.57,0.52,0.52,0.54,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       NIL ,      NIL ,    NIL ,,,,,,,,,0.9,BDL,0.8,0.77,0.66,BDL,0.75,0.91,0.82,BDL,0.61,0.75,0.69,BDL,65,1.01,1.52
Total Suspended Solids(TSS),,36,,,,20,8,28,34,36,268,18,46,66,26,18,4,30,6,20,64,18,44,66,50,26,28,62,54,58,14,36,114,64,530,280,110,64,44,46,24,16,16,14,52,12,179,468,124,48,34,68,78,12,30,270,68,18,994,646,68,72,34,30,20,58,52,15.36,16,260,98,124,280,218,148,36,42,48,226,98,64,242,125,42,242,134,221,76,79,245,96,67,78,67,34,45,86,98,106,58,30,48,58,186,62,36,48,108,98,72,62,60,52,128,98,48,64,31,52,35,22,28,32,11,41,61,4,26,66,56,22,45,42,
Turbidity,,27.1,,,,19.5,11.3,,25.2,178,178,79.7,85.4,8.21,23,5.36,5.9,24.1,7.83,5.53,29.7,39.8,251,12.8,22.7,12.3,4.56,31.3,15.6,29.7,13.8,12.8,4.62,20.3,326,54.7,39.7,44.7,8.47,14.6,7.36,9.18,39.2,14.8,26.6,8.92,251,383,75.5,12.4,16.8,8.37,5.06,18.9,11.2,11.1,52.7,8.98,614,658,57.7,60.2,16,5.36,4.23,30.7,24.6,28.8,5.63,189,147,97.2,128,185,17.6,19.6,14.7,13.3,8.14,15.5,21.4,94,402,11.5,187,200,275,300,500,545,0.97,"0,67",0.54,0.65,0.76,0.31,528,20.2,1.2,18.8,0.65,9.36,18.8,7.18,7.78,5.34,86.5,60.2,130,7.2,2.66,21.3,14.6,31.6,29.3,,,13.5,18,12.25,16,14,17,15.5,11,22,8.2,12.2,23,5.9,6.62,21,9.61,52
a-BHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIL,,,,,,,,,,,,    NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-Endosulphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,    NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anilophos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,     NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b-Endosulphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,      NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorpyriphos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,      NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieldrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,        NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"o,p-DDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  NT,,,,,,,,,,,,        NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p,p-DDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,          NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g-BHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,     NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malathion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,        BDL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,         BDL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
